customer_city,order_volume,total_sales
ilheus,69,10500.099999999999
pirassununga,69,9866.23
barretos,69,10351.449999999999
aruja,68,8699.660000000002
campina grande,67,22657.35
sao joao del rei,66,9744.43
pinhais,66,10103.74
guarapari,66,11951.82
rio verde,64,11943.490000000002
manhuacu,64,10066.6
linhares,64,13987.35
rondonopolis,64,12381.59
avare,63,9713.470000000003
amparo,63,12606.720000000001
dourados,63,10515.659999999998
muriae,63,12532.070000000002
votuporanga,63,9740.189999999999
colatina,63,8456.839999999998
caruaru,63,12282.07
santa cruz do sul,62,11974.650000000001
bage,62,10272.970000000001
guarapuava,62,9900.200000000003
paracatu,62,10113.1
valenca,62,12016.63
petrolina,62,16253.019999999999
caratinga,62,11211.449999999997
sertaozinho,61,7829.73
parnamirim,61,11206.99
colombo,60,9014.88
camacari,60,8722.580000000002
jaguariuna,60,9595.58
brusque,60,9714.82
tubarao,60,12125.769999999999
itabuna,60,9474.99
lagoa santa,58,9681.009999999998
paranagua,58,8778.47
itapeva,57,7686.3099999999995
sao sebastiao,57,11083.78
alvorada,56,9323.060000000001
itaborai,56,7783.17
erechim,56,7689.0599999999995
cruzeiro,56,7458.7699999999995
itauna,56,9009.27
campo mourao,56,8579.689999999999
ouro preto,55,8149.910000000001
unai,54,8064.509999999999
araucaria,54,6255.87
lins,54,10360.58
jatai,54,11337.939999999999
araguari,54,12048.939999999999
macapa,53,13545.04
queimados,53,7048.549999999999
bento goncalves,53,8146.78
pato branco,53,10599.58
ituiutaba,53,6593.02
uba,53,7734.0
ijui,52,6870.16
fernandopolis,52,8366.439999999999
itapira,52,7984.619999999999
tupa,52,7490.94
timoteo,52,8938.859999999999
lajeado,51,9615.48
apucarana,51,8112.799999999999
bebedouro,51,6140.510000000001
matao,51,8360.85
barreiras,51,12687.510000000002
francisco beltrao,50,8378.119999999999
cosmopolis,50,7645.2699999999995
joao monlevade,50,8232.519999999999
jaboticabal,50,6776.97
leme,50,9157.009999999998
nova serrana,49,8677.6
barra do pirai,49,6015.990000000001
uruguaiana,47,5460.41
boituva,47,7974.490000000002
sao mateus,47,7679.63
concordia,47,6730.950000000001
bertioga,47,10442.34
campo limpo paulista,47,5581.77
ibirite,47,8317.09
embu-guacu,46,7062.82
sao pedro da aldeia,46,5712.970000000001
itaguai,46,7202.320000000001
itaperuna,46,6658.0199999999995
saquarema,45,5614.719999999999
patrocinio,45,8023.549999999998
paranavai,45,8254.93
santo angelo,45,6448.63
registro,45,6809.21
videira,44,9246.03
louveira,44,5596.559999999999
itapema,44,7233.42
ilhabela,44,3989.8799999999997
sao jose do rio pardo,44,5971.05
sao bento do sul,44,6105.45
santarem,43,7125.51
passos,43,5189.81
vargem grande paulista,43,5368.16
sinop,43,7696.819999999999
alfenas,43,6539.45
guaira,43,5402.83
lencois paulista,43,7565.4800000000005
peruibe,43,7697.98
juazeiro,42,8643.380000000001
extrema,42,6195.309999999999
itupeva,42,6039.660000000001
curvelo,42,6406.88
pirapora,42,7842.16
tres lagoas,42,8544.95
paulista,42,7602.08
sabara,42,5334.36
ouro branco,41,5283.790000000001
mongagua,41,6027.55
vespasiano,41,6842.380000000001
tres coracoes,41,5476.219999999999
pedro leopoldo,40,5875.049999999999
artur nogueira,40,6723.879999999999
imperatriz,40,9144.779999999999
boa vista,40,8867.830000000002
coronel fabriciano,40,4906.87
alagoinhas,40,7428.329999999998
cacador,40,5469.62
umuarama,40,6603.01
aracruz,40,5102.9800000000005
andradina,40,7087.49
ponte nova,39,7814.780000000001
esteio,39,6986.45
sapucaia do sul,39,6392.7
sao miguel do oeste,39,7165.3
paulo afonso,39,7842.130000000002
porto seguro,39,11671.599999999999
cianorte,39,5691.549999999999
araguaina,38,8946.120000000003
capao da canoa,38,5629.08
tremembe,38,5462.699999999999
bom despacho,38,5554.599999999999
tres rios,38,8014.460000000002
monte mor,38,5039.0
varzea grande,38,7710.3099999999995
para de minas,37,7994.59
